LUGAR,FECHA_HECHOS,LOCALIDAD,BARRIO_HECHOS,ARTICULO,EDAD,CAPITULO,NÚMERO_COMPORTAMIENTO,AÑO_NUM
BUCARAMANGA - CM,07/08/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,22,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,07/10/2017,01. NORTE,COLORADOS,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,18,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,07/10/2017,01. NORTE,CAFE MADRID,"Art. 38 - Comportamientos que afectan la integridad de niños, niñas y adolescentes",40,"Cap. 1 - NIÑOS, NIÑAS Y ADOLESCENTES",Lit. e,2017
BUCARAMANGA - CM,08/12/2017,01. NORTE,COLORADOS,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,25,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,09/11/2017,01. NORTE,CAFE MADRID,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,24,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 5,2017
BUCARAMANGA - CM,09/12/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,22,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,09/12/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,28,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,09/12/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,29,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,10/02/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,24,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,10/12/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,48,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,11/02/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,27,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,12/07/2017,01. NORTE,COLORADOS,"Art. 38 - Comportamientos que afectan la integridad de niños, niñas y adolescentes",21,"Cap. 1 - NIÑOS, NIÑAS Y ADOLESCENTES",Lit. f,2017
BUCARAMANGA - CM,12/11/2017,01. NORTE,EL PABLÓN,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,22,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,13/10/2017,01. NORTE,CAFE MADRID,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,33,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 3,2017
BUCARAMANGA - CM,14/08/2017,01. NORTE,COLORADOS,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,22,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 1,2017
BUCARAMANGA - CM,14/08/2017,01. NORTE,COLORADOS,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,19,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 1,2017
BUCARAMANGA - CM,14/09/2017,01. NORTE,CAFE MADRID,Art. 33 - Comportamientos que afectan la tranquilidad y relaciones respetuosas de las personas,40,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,Lit. a,2017
BUCARAMANGA - CM,14/12/2017,01. NORTE,COLORADOS,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,26,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,15/08/2017,01. NORTE,COLORADOS,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,19,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 1,2017
BUCARAMANGA - CM,16/07/2017,01. NORTE,CAFE MADRID,Art. 33 - Comportamientos que afectan la tranquilidad y relaciones respetuosas de las personas,34,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,Lit. a,2017
BUCARAMANGA - CM,16/10/2017,01. NORTE,COLORADOS,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,40,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 3,2017
BUCARAMANGA - CM,16/12/2017,01. NORTE,COLORADOS,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,21,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,16/12/2017,01. NORTE,COLORADOS,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,33,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,16/12/2017,01. NORTE,COLORADOS,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,34,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,17/09/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,46,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 3,2017
BUCARAMANGA - CM,17/09/2017,01. NORTE,CAFE MADRID,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,46,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 2,2017
BUCARAMANGA - CM,17/09/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,36,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 3,2017
BUCARAMANGA - CM,17/09/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,24,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,19/10/2017,01. NORTE,COLORADOS,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,16,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,19/10/2017,01. NORTE,COLORADOS,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,14,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,20/09/2017,01. NORTE,EL ROSAL,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,27,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,24/11/2017,01. NORTE,COLORADOS,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,40,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,25/06/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,21,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 2,2017
BUCARAMANGA - CM,25/07/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,25,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,25/07/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,16,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,25/11/2017,01. NORTE,COLORADOS,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,20,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,26/09/2017,01. NORTE,COLORADOS,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,18,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 1,2017
BUCARAMANGA - CM,26/10/2017,01. NORTE,CAFE MADRID,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,24,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 2,2017
BUCARAMANGA - CM,26/11/2017,01. NORTE,CAFE MADRID,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,22,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 6,2017
BUCARAMANGA - CM,27/09/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,41,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,27/09/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,43,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,27/09/2017,01. NORTE,CAFE MADRID,Art. 33 - Comportamientos que afectan la tranquilidad y relaciones respetuosas de las personas,63,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,Lit. b,2017
BUCARAMANGA - CM,27/09/2017,01. NORTE,COLORADOS,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,37,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,27/11/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,25,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 4,2017
BUCARAMANGA - CM,28/08/2017,01. NORTE,EL PABLÓN,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,37,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,28/08/2017,01. NORTE,EL PABLÓN,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,45,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,28/09/2017,01. NORTE,COLORADOS,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,31,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,28/09/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,25,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,28/09/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,43,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 4,2017
BUCARAMANGA - CM,28/09/2017,01. NORTE,COLORADOS,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,37,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,08/10/2017,01. NORTE,CAFE MADRID,Art. 33 - Comportamientos que afectan la tranquilidad y relaciones respetuosas de las personas,46,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,Lit. b,2017
BUCARAMANGA - CM,13/12/2017,04. OCCIDENTAL,GAITAN,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,20,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,22/09/2017,01. NORTE,COLORADOS,"Art. 38 - Comportamientos que afectan la integridad de niños, niñas y adolescentes",42,"Cap. 1 - NIÑOS, NIÑAS Y ADOLESCENTES",Num. 1,2017
BUCARAMANGA - CM,13/11/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,19,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,16/10/2017,01. NORTE,COLORADOS,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,23,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 2,2017
BUCARAMANGA - CM,11/12/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,48,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,11/12/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,29,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,14/12/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,52,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,01/07/2017,01. NORTE,COLORADOS,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,22,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,09/07/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,24,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,16/10/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,24,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,07/08/2017,01. NORTE,CAFE MADRID,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,19,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 1,2017
BUCARAMANGA - CM,07/08/2017,01. NORTE,CAFE MADRID,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,19,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,16/07/2017,01. NORTE,CAFE MADRID,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,30,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 2,2017
BUCARAMANGA - CM,16/07/2017,01. NORTE,CAFE MADRID,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,29,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 2,2017
BUCARAMANGA - CM,02/06/2017,04. OCCIDENTAL,GAITAN,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,31,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,09/02/2017,01. NORTE,CAFE MADRID,Art. 33 - Comportamientos que afectan la tranquilidad y relaciones respetuosas de las personas,16,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,Num. 2,2017
BUCARAMANGA - CM,24/08/2017,04. OCCIDENTAL,GAITAN,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,24,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 3,2017
BUCARAMANGA - CM,25/06/2017,04. OCCIDENTAL,GAITAN,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,23,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,25/06/2017,04. OCCIDENTAL,GAITAN,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,57,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,02/10/2017,02. NORORIENTAL,LA ESPERANZA I,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,22,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,03/07/2017,02. NORORIENTAL,VILLA HELENA I,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,24,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 1,2017
BUCARAMANGA - CM,07/08/2017,02. NORORIENTAL,VILLA HELENA I,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,40,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,07/10/2017,02. NORORIENTAL,LA JUVENTUD,Art. 33 - Comportamientos que afectan la tranquilidad y relaciones respetuosas de las personas,22,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,Lit. c,2017
BUCARAMANGA - CM,08/07/2017,02. NORORIENTAL,LA JUVENTUD,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,65,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,08/12/2017,02. NORORIENTAL,LA ESPERANZA I,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,35,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,08/12/2017,02. NORORIENTAL,LA ESPERANZA I,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,37,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,09/12/2017,02. NORORIENTAL,VILLA HELENA II,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,27,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,09/12/2017,02. NORORIENTAL,VILLA HELENA I,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,23,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,10/12/2017,02. NORORIENTAL,VILLA HELENA I,Art. 33 - Comportamientos que afectan la tranquilidad y relaciones respetuosas de las personas,28,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,11/02/2017,02. NORORIENTAL,REGADERO NORTE,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,35,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,11/09/2017,02. NORORIENTAL,LA ESPERANZA III,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,39,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 2,2017
BUCARAMANGA - CM,12/10/2017,02. NORORIENTAL,REGADERO NORTE,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,19,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 3,2017
BUCARAMANGA - CM,12/10/2017,02. NORORIENTAL,REGADERO NORTE,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,15,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 3,2017
BUCARAMANGA - CM,13/12/2017,02. NORORIENTAL,LA ESPERANZA II,Art. 33 - Comportamientos que afectan la tranquilidad y relaciones respetuosas de las personas,36,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,Lit. c,2017
BUCARAMANGA - CM,13/12/2017,02. NORORIENTAL,LA ESPERANZA I,Art. 33 - Comportamientos que afectan la tranquilidad y relaciones respetuosas de las personas,40,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,Lit. c,2017
BUCARAMANGA - CM,14/07/2017,02. NORORIENTAL,LA JUVENTUD,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,20,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 1,2017
BUCARAMANGA - CM,14/10/2017,02. NORORIENTAL,LA ESPERANZA I,Art. 34 - Comportamientos que afectan la convivencia en los establecimientos educativos relacionados con consumo de sustancias,22,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 3,2017
BUCARAMANGA - CM,14/10/2017,02. NORORIENTAL,LA ESPERANZA I,Art. 34 - Comportamientos que afectan la convivencia en los establecimientos educativos relacionados con consumo de sustancias,26,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 3,2017
BUCARAMANGA - CM,14/10/2017,02. NORORIENTAL,LA ESPERANZA I,Art. 34 - Comportamientos que afectan la convivencia en los establecimientos educativos relacionados con consumo de sustancias,44,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 3,2017
BUCARAMANGA - CM,15/08/2017,02. NORORIENTAL,LA ESPERANZA II,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,23,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,Num. 1,2017
BUCARAMANGA - CM,15/10/2017,02. NORORIENTAL,LA ESPERANZA I,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,20,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,15/10/2017,02. NORORIENTAL,LA ESPERANZA II,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,18,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,17/12/2017,02. NORORIENTAL,SAN CRISTOBAL,Art. 33 - Comportamientos que afectan la tranquilidad y relaciones respetuosas de las personas,27,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,Lit. c,2017
BUCARAMANGA - CM,18/10/2017,02. NORORIENTAL,LA ESPERANZA III,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,40,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,18/10/2017,02. NORORIENTAL,LA ESPERANZA III,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,32,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,22/08/2017,02. NORORIENTAL,LA ESPERANZA I,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,34,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 3,2017
BUCARAMANGA - CM,23/08/2017,02. NORORIENTAL,LA ESPERANZA I,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,22,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,23/08/2017,02. NORORIENTAL,LA ESPERANZA I,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,34,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 4,2017
BUCARAMANGA - CM,26/09/2017,02. NORORIENTAL,VILLA HELENA I,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,24,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,26/09/2017,02. NORORIENTAL,VILLA HELENA I,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,28,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 1,2017
BUCARAMANGA - CM,30/06/2017,02. NORORIENTAL,VILLA HELENA I,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,22,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,30/09/2017,02. NORORIENTAL,VILLA HELENA I,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,30,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,30/09/2017,02. NORORIENTAL,LA ESPERANZA I,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,24,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 4,2017
BUCARAMANGA - CM,09/02/2017,03. SAN FRANCISCO,SAN RAFAEL,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,61,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,09/02/2017,03. SAN FRANCISCO,SAN RAFAEL,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,43,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
BUCARAMANGA - CM,19/10/2017,02. NORORIENTAL,VILLA HELENA I,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,17,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,Num. 6,2017
